name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
BAYFIELD 29,GOZZARD,1989,29.0,22.0,10.2,4.0,8500,3000,468,FULL KEEL,CUTTER,18.04,356,24.7,1.93,1.13,2.84,0.10551,6.29,2.7,4.80,,,,,,,,,,,,,,,,,,,,,,,,
BAYFIELD 32,GOZZARD,1992,32.0,23.3,10.5,3.7,9600,4000,662,,SLOOP,23.53,339,25.0,1.91,1.23,3.05,0.10220,6.47,2.8,4.90,,,,,,,,,,,,,,,,,,,,,,,,
BAYFIELD 36,GOZZARD,1964,36.0,30.5,12.0,5.0,18500,6500,738,MONO,CUTTER,16.94,291,32.5,1.76,1.08,3.00,0.07419,7.40,3.6,5.90,,,,,,,,,,,,,,,,,,,,,,,,
BEETLE CAT,,1963,12.4,11.8,6.0,"8"" / 24""",450,,100,CAT BOAT,GAFF,27.28,122,5.3,3.03,1.41,2.07,0.89024,4.60,0.6,1.39,,,,,,,,,,,,,,,,,,,,,,,,
Bellatrix,,1987,44.3,32.5,12.1,7.3,28500,12700,887,,,15.27,371,44.2,1.53,1.04,3.66,0.03889,7.64,5.0,8.16,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 25,FARR,1972,24.5,22.1,8.5,5.2,2755,1124,349,,SLOOP,28.49,114,10.8,2.34,1.36,2.88,0.34767,6.30,1.3,2.53,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 311,FINOT,1974,32.2,28.8,10.7,4.8,7716,2425,500,FIN,FRACTIONAL,20.55,144,17.0,2.09,1.19,3.01,0.20565,7.19,2.0,3.47,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 361,BERRET,1985,36.4,35.4,12.5,5.0,12760,4156,592,FIN,SLOOP,17.41,128,19.1,2.07,1.11,2.91,0.19185,7.97,2.3,3.69,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 36CC,BERRET,1970,35.4,31.2,12.5,5.2,13382,4155,551,,SLOOP,15.70,197,22.0,2.04,1.07,2.83,0.16238,7.48,2.5,4.01,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 36S7,BERRET,1977,35.7,31.1,12.4,6.1,11684,3650,660,,SLOOP,20.58,173,19.4,2.11,1.17,2.88,0.18983,7.47,2.3,3.71,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 411,FINOT,1987,41.7,36.1,12.8,4.7,14330,5500,870,FIN KEEL,SLOOP,23.68,136,19.7,2.04,1.22,3.26,0.18176,8.05,2.4,3.81,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 50,FARR,1969,50.8,45.4,14.7,5.1,33062,9314,1356,,,21.15,158,30.3,1.77,1.15,3.46,0.09644,9.03,3.6,5.33,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 53F5,FARR,1985,53.1,43.3,14.7,8.1,31359,9632,1067,,SLOOP,17.24,172,29.2,1.80,1.07,3.61,0.10203,8.82,3.5,5.18,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU 64,FARR,1981,62.2,51.2,17.1,7.0,55115,17313,1292,FIN + BULB,SLOOP,14.34,183,35.7,1.74,0.99,3.64,0.08539,9.59,4.2,5.76,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 310,,1964,31.0,28.7,10.6,4.3,7054,2400,460,FIN,SLOOP,20.07,133,16.0,2.14,1.18,2.92,0.22490,7.18,1.9,3.31,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 345,BERRET,1984,34.5,28.7,11.5,6.3,12600,4651,534,FIN SPADE,SLOOP,15.83,238,24.7,1.91,1.07,3.00,0.11582,7.18,2.8,4.69,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 36.7,FARR,1978,36.0,30.3,11.6,5.9,11552,4034,656,FIN,SLOOP,20.61,185,21.3,1.99,1.17,3.10,0.14700,7.38,2.5,4.17,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 38,,1975,40.2,31.7,12.7,6.9,15700,6600,850,FIN,SLOOP,21.77,220,24.0,1.96,1.19,3.17,0.13217,7.54,2.8,4.46,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 38s5,,1999,37.6,30.3,12.5,5.2,13700,5400,742,FIN,SLOOP,20.81,220,22.6,2.02,1.17,3.01,0.15013,7.38,2.6,4.17,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 40.7,FARR,1979,39.3,34.9,12.3,6.3,15211,5954,734,FIN,SLOOP,19.20,160,22.9,1.92,1.14,3.20,0.13628,7.92,2.7,4.37,,,,,,,,,,,,,,,,,,,,,,,,
BENETEAU FIRST 42S7,FARR,1976,42.5,35.8,13.5,7.6,18220,6283,771,DEEP KEEL,,17.88,177,23.3,1.99,1.10,3.15,0.15387,8.02,2.7,4.17,,,,,,,,,,,,,,,,,,,,,,,,
