name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN 28,CLARK,1961,28.7,22.3,10.0,4.5,6200,3100,385,FIN,SLOOP,18.31,250,18.4,2.11,1.15,2.87,0.16957,6.33,2.1,3.77,,,,,,,,,,,,,,,,,,,,,,,,
SANDBAGGER,MACMILLAN,1993,51.0,21.0,10.0,5.9,1600,,954,,GAFF,111.82,77,3.8,3.31,2.18,5.10,1.52613,6.14,0.7,1.26,,,,,,,,,,,,,,,,,,,,,,,,
SANDERLING 18,MARSHALL,1971,18.1,18.0,8.5,"19"" / 4.3'",2200,500,253,CAT BOAT,GAFF,23.99,168,10.9,2.53,1.29,2.13,0.40803,5.69,1.2,2.34,,,,,,,,,,,,,,,,,,,,,,,,
SANDPIPPER,MARSHALL,1968,15.5,14.5,7.1,16 / 40,1050,200,166,CAT BOAT,GAFF,25.76,154,8.1,2.70,1.35,2.18,0.54074,5.10,0.9,1.92,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ 27,LEE,1967,27.0,24.0,8.0,4.5,3000,1500,300,,SLOOP,23.14,97,11.7,2.15,1.27,3.38,0.23740,6.56,1.5,3.01,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ 52,LEE,1994,52.0,46.5,14.0,9.0,20000,9000,1212,,SLOOP,26.42,89,19.1,2.00,1.25,3.71,0.18802,9.14,2.5,3.79,,,,,,,,,,,,,,,,,,,,,,,,
"SANTA CRUZ 52, SHOAL",SMITH W/LEE,1991,53.0,46.5,14.0,7.0,21000,9100,1327,MONO FIN SPADE,SLOOP,28.00,93,19.9,1.96,1.28,3.79,0.17383,9.14,2.6,3.94,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ 70,LEE,1989,68.0,62.0,15.1,9.0,24000,9600,1555,FIN,SLOOP,30.02,45,15.6,2.03,1.30,4.50,0.26707,10.55,2.2,3.21,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA 20,TURNER,1962,20.3,16.0,6.0,4.0,1350,550,186,,SLOOP,24.41,147,11.1,2.10,1.32,3.38,0.16351,5.36,1.4,3.24,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA 2023,SCHOCK,1998,23.3,20.6,8.9,1.1 / 5.5,3055,1300,237,WATER BALLAST,SLOOP,18.06,156,12.0,2.37,1.17,2.62,0.32158,6.08,1.4,2.66,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA 23 MAX,SCHOCK,1986,23.3,20.0,8.8,6.0,2600,640,267,,SLOOP,22.65,145,10.6,2.47,1.26,2.65,0.36663,5.99,1.3,2.49,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA 39,SCHOCK,1966,39.0,31.5,11.7,6.2,21000,7200,660,FIN ,SLOOP,13.93,300,36.3,1.64,1.01,3.33,0.05529,7.52,4.1,6.80,,,,,,,,,,,,,,,,,,,,,,,,
SCEPTRE 43,DRIEHUYZEN,1983,43.0,36.0,12.7,6.1,21500,8500,774,,SLOOP,16.08,206,29.5,1.77,1.06,3.39,0.08459,8.04,3.5,5.57,,,,,,,,,,,,,,,,,,,,,,,,
SCEPTRE 43 ATLANTIC,DRIEHU,1964,43.0,36.0,12.7,6.1,21500,8700,774,DEEP KEEL,,16.08,206,29.5,1.77,1.06,3.39,0.08459,8.04,3.5,5.57,,,,,,,,,,,,,,,,,,,,,,,,
SCEPTRE 52,DRIEHUYZEN,1997,51.9,44.5,15.0,6.3,36000,14400,1176,,SLOOP,17.33,182,32.3,1.76,1.07,3.46,0.08878,8.94,3.8,5.57,,,,,,,,,,,,,,,,,,,,,,,,
SCHOCK 34 PC,NELSON/MAREK,1982,33.0,28.7,11.5,6.5,9800,3220,554,FIN KEEL,SLOOP,19.42,185,19.5,2.08,1.16,2.87,0.17165,7.18,2.3,3.85,,,,,,,,,,,,,,,,,,,,,,,,
SCHOCK 35,SCHOCK,2000,35.0,29.4,11.8,6.8,10000,4000,639,,,22.10,176,18.6,2.12,1.21,2.97,0.19424,7.27,2.2,3.63,,,,,,,,,,,,,,,,,,,,,,,,
SCHOCK 55,MAREK,1988,55.0,44.0,12.5,10.0,18500,8300,1223,FIN,SLOOP,28.08,97,20.9,1.83,1.28,4.40,0.12945,8.89,2.8,4.49,,,,,,,,,,,,,,,,,,,,,,,,
SCORPION II,FELTZ,1966,38.0,31.3,10.7,5.9,25500,5500,650,FULL KEEL,CUTTER,12.05,371,50.3,1.41,0.96,3.55,0.02623,7.50,5.6,9.71,,,,,,,,,,,,,,,,,,,,,,,,
SEA BIRD 37,C&C,1968,36.9,32.5,11.5,4.0,18000,6000,650,,KETCH,15.20,234,31.8,1.70,1.05,3.21,0.07007,7.64,3.6,6.02,,,,,,,,,,,,,,,,,,,,,,,,
SEAHORSE,TANTON,1960,37.8,35.1,12.3,7.0,13350,6342,753,FIN KEEL,SLOOP,21.49,138,20.3,2.01,1.18,3.07,0.17248,7.94,2.4,3.88,,,,,,,,,,,,,,,,,,,,,,,,
SEARAKER 50,MONK,1971,50.3,43.0,13.5,6.3,38000,12000,1058,MONO LONG KEEL,CUTTER,15.04,213,40.6,1.55,1.02,3.73,0.05078,8.79,4.7,7.26,,,,,,,,,,,,,,,,,,,,,,,,
SEAWARD 23,HAKE,1985,24.5,21.0,8.3,2.1,2700,900,260,FIN,SLOOP,21.51,130,11.3,2.30,1.24,2.95,0.28888,6.14,1.4,2.76,,,,,,,,,,,,,,,,,,,,,,,,
SEAWARD 25,HAKE,1997,26.8,23.0,8.2,2.1,3600,1200,280,,,19.12,132,14.0,2.07,1.18,3.27,0.17145,6.43,1.8,3.57,,,,,,,,,,,,,,,,,,,,,,,,
SEAWARD EAGLE,HAKE,1993,32.2,28.5,10.5,3.5,8700,3000,460,FIN,SLOOP,17.46,168,19.8,1.97,1.12,3.07,0.15146,7.15,2.3,4.03,,,,,,,,,,,,,,,,,,,,,,,,
SEQUIN 40,WALTERS,1972,39.6,31.3,12.2,7.3,18000,8000,732,CB,SLOOP,17.12,262,29.4,1.80,1.09,3.25,0.08502,7.50,3.4,5.52,,,,,,,,,,,,,,,,,,,,,,,,
SEQUIN 44,S&S,1965,45.9,33.5,12.8,7.8,27400,10500,958,,SLOOP,16.93,325,38.1,1.64,1.07,3.59,0.05408,7.76,4.4,6.98,,,,,,,,,,,,,,,,,,,,,,,,
SEWARD 25,,1974,26.8,23.0,8.3,2.1,3600,1200,280,,SLOOP,19.12,132,13.7,2.09,1.18,3.23,0.19592,6.43,1.7,3.35,,,,,,,,,,,,,,,,,,,,,,,,
SHANAKEE II,PEDRICK,2000,74.7,60.7,18.9,8.5,80000,,2615,FIN,SLOOP,22.64,160,38.0,1.70,1.15,3.95,0.08027,10.44,4.6,6.00,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON 28,SCHULZ,1975,28.0,22.9,9.5,4.3,9300,3456,470,,SLOOP,17.06,346,29.3,1.75,1.11,2.95,0.06781,6.41,3.2,5.89,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON 37,SCHULZ,1960,37.8,30.9,11.5,5.0,18500,6500,703,CB,CUTTER,16.14,280,33.5,1.68,1.07,3.29,0.06288,7.45,3.8,6.36,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON 39,SCHULZ,1962,41.6,32.9,12.0,5.5,18700,6900,749,,CUTTER,17.07,234,29.7,1.75,1.09,3.47,0.07849,7.69,3.5,5.73,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON 40,SCHULZ,1985,40.0,36.3,13.4,4.5/7,24500,8820,997,CB,CUTTER,18.99,229,31.9,1.79,1.12,2.99,0.08573,8.07,3.6,5.58,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON 43,SCHULZ,1988,43.9,36.6,13.0,6.5,27000,9720,950,,KETCH,16.96,246,35.3,1.68,1.07,3.38,0.06677,8.11,4.0,6.30,,,,,,,,,,,,,,,,,,,,,,,,
Shannon 43,,1968,43.8,36.6,13.0,6.5,27000,0,900,,,16.06,246,35.4,1.68,1.05,3.37,0.06677,8.11,4.0,6.30,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON 50,SCHULZ,1988,50.9,42.8,14.3,7.0,39000,14040,1227,,KETCH,17.14,222,38.6,1.63,1.07,3.56,0.05961,8.77,4.5,6.75,,,,,,,,,,,,,,,,,,,,,,,,
Shannon 50,,1972,50.9,42.8,14.3,7.0,39000,15500,1208,,,16.88,222,38.6,1.63,1.06,3.56,0.05961,8.77,4.5,6.75,,,,,,,,,,,,,,,,,,,,,,,,
Shannon 50 CB,,1997,50.9,42.8,14.3,5.7,39000,15500,1325,,,18.51,223,38.8,1.63,1.09,3.57,0.05935,8.76,4.5,6.76,,,,,,,,,,,,,,,,,,,,,,,,
Shannon 50 keel,,1979,50.9,42.8,14.3,7.0,39000,15500,1325,,,18.51,223,38.8,1.63,1.09,3.57,0.05935,8.76,4.5,6.76,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON PILOT 43,SCHULZ,1983,48.0,36.8,13.0,4.0,29000,10500,1193,CENTERBOARD,,20.30,260,36.7,1.64,1.14,3.69,0.05778,8.13,4.3,6.77,,,,,,,,,,,,,,,,,,,,,,,,
SHEARWATER 45,DIX,1991,48.8,37.5,13.2,6.3,27562,11576,1175,"LONG KEEL, SKEG RUDDER",CUTTER,20.69,233,33.5,1.69,1.15,3.70,0.06810,8.21,4.0,6.25,,,,,,,,,,,,,,,,,,,,,,,,
SHENANIGAN 60,BREWER,1989,60.0,56.4,14.3,5.8,62000,18000,1650,MONO,KETCH,16.93,154,48.2,1.40,1.05,4.20,0.03589,10.06,5.8,8.70,,,,,,,,,,,,,,,,,,,,,,,,
SHIELDS,S&S,1968,30.2,20.0,6.4,4.8,4600,3080,360,FULL KEEL,,20.88,257,26.0,1.49,1.21,4.72,0.03142,5.99,3.4,7.63,,,,,,,,,,,,,,,,,,,,,,,,
SHIELDS 30,CHRIS CRAFT,1981,30.2,20.0,6.5,4.8,4600,3080,360,3/4 KEEL,SLOOP,20.88,257,25.5,1.51,1.21,4.65,0.03433,5.99,3.3,7.34,,,,,,,,,,,,,,,,,,,,,,,,
SHOALSAILER 32,SCHULZ,1980,32.5,30.0,12.8,2.5,9532,,540,"SHOAL DRAFT, NO CB",SLOOP,19.28,158,16.1,2.34,1.15,2.54,0.32313,7.34,1.8,2.85,,,,,,,,,,,,,,,,,,,,,,,,
SHOALSAILER 32,SCHULZ,1971,32.5,30.0,12.8,2.5,9532,,540,"SHOAL DRAFT, NO CB",SLOOP,19.28,158,16.1,2.34,1.15,2.54,0.32313,7.34,1.8,2.85,,,,,,,,,,,,,,,,,,,,,,,,
SHOCK 35,SCHOCK,1975,35.0,29.4,11.8,6.2,10000,4500,639,,SLOOP,22.10,176,18.6,2.12,1.21,2.97,0.19424,7.27,2.2,3.63,,,,,,,,,,,,,,,,,,,,,,,,
SILVER SEAS,BRAY,1995,45.5,40.0,14.0,5.0,20000,2500,1018,,CUTTER,22.19,140,22.1,2.00,1.18,3.25,0.16120,8.47,2.7,4.09,,,,,,,,,,,,,,,,,,,,,,,,
SIMBA,S&S,1974,42.6,29.5,11.8,4.0,22000,7000,873,CB,YAWL,17.86,383,38.0,1.63,1.10,3.61,0.05084,7.28,4.3,7.10,,,,,,,,,,,,,,,,,,,,,,,,
SIROCCO 30,HOLTROP,1980,30.3,25.7,9.5,5.0,9791,4000,519,FULL KEEL,sloop,18.21,258,27.9,1.72,1.13,3.19,0.06781,6.79,3.2,5.89,,,,,,,,,,,,,,,,,,,,,,,,
SIROCCO 34 MS,HOLTROP,1985,34.0,28.8,10.5,5.0,14000,6000,556,FIN,CAT SCHOONER,15.37,262,31.1,1.69,1.06,3.24,0.06541,7.19,3.5,6.13,,,,,,,,,,,,,,,,,,,,,,,,
SIROCCO 36,HOLTROP,1985,36.3,33.6,11.9,6.0,14000,5500,545,FIN KEEL OR TWIN KEELS (PB),SLOOP,15.07,165,23.2,1.91,1.05,3.05,0.13042,7.77,2.7,4.44,,,,,,,,,,,,,,,,,,,,,,,,
SIROCCO 38,HOLTROP,1988,38.0,35.3,12.1,5.5,18500,7400,800,FIN KEEL,SLOOP,18.37,188,28.6,1.77,1.11,3.14,0.08927,7.96,3.3,5.38,,,,,,,,,,,,,,,,,,,,,,,,
SIROCCO 49,HOLTROP,1981,49.0,41.0,15.0,6.0,38000,14000,1220,FIN KEEL,CUTTER,17.34,246,36.7,1.73,1.07,3.27,0.07626,8.58,4.1,6.01,,,,,,,,,,,,,,,,,,,,,,,,
SKARPSNO 44,ZAAL,1966,45.0,33.6,12.3,5.6,30864,9920,1202,,KETCH-CUTTER ,19.63,363,45.6,1.52,1.12,3.66,0.03820,7.77,5.1,8.25,,,,,,,,,,,,,,,,,,,,,,,,
SKIMMER 25,PARKER,1984,25.4,23.0,8.1,1.3,3000,1000,345,CENTERBOARD,,26.61,110,12.0,2.17,1.33,3.14,0.24215,6.43,1.5,2.99,,,,,,,,,,,,,,,,,,,,,,,,
Skookum 53,,1963,53.0,46.0,15.5,7.0,56000,0,1600,,,17.57,257,46.8,1.57,1.06,3.42,0.04938,9.09,5.2,7.49,,,,,,,,,,,,,,,,,,,,,,,,
Skye 51,,1961,50.8,43.0,14.3,7.0,39000,15600,1265,,,17.67,219,38.5,1.63,1.08,3.55,0.06235,8.79,4.4,6.60,,,,,,,,,,,,,,,,,,,,,,,,
Skye 54,,1966,53.4,43.3,15.0,7.0,40600,0,1320,,,17.96,223,36.8,1.69,1.08,3.56,0.06933,8.82,4.3,6.30,,,,,,,,,,,,,,,,,,,,,,,,
SLIDER 38,HOLTROP,1999,38.3,36.2,15.0,4.0,7000,2000,600,SLIDING INTERNAL BALLAST,SLOOP,26.32,66,8.0,3.03,1.29,2.55,1.28195,8.06,1.0,1.47,,,,,,,,,,,,,,,,,,,,,,,,
SOLING,LINGE,1973,26.1,20.2,6.2,4.2,2277,0,233,FIN KEEL,SLOOP,21.59,123,14.1,1.82,1.25,4.21,0.09470,6.02,1.9,4.33,,,,,,,,,,,,,,,,,,,,,,,,
SONNEY,EMPACHER,1989,69.9,58.0,16.4,8.0,76750,,1147,FIN,SLOOP,10.21,176,46.5,1.49,0.88,4.26,0.04565,10.21,5.6,7.85,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERLY 110,HUMPHREYS,1990,36.0,30.3,11.9,2.4 - 7.1,13750,6765,570,SWING KEEL,SLOOP,15.95,221,24.5,1.92,1.07,3.03,0.12127,7.38,2.8,4.61,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN CROSS 31,GILMER,1963,31.0,25.0,9.5,4.7,13600,4400,447,FIN KEEL / SKEG RUDDER,CUTTER,12.60,389,39.1,1.54,0.99,3.26,0.03755,6.70,4.3,7.92,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN CROSS 39,GILMER,1979,38.6,31.0,12.1,5.3,21000,7676,835,FIN KEEL SKEG RUDDER,CUTTER,17.62,315,35.2,1.70,1.10,3.19,0.06391,7.46,3.9,6.36,,,,,,,,,,,,,,,,,,,,,,,,
SOU'WESTER 43,RHODES-HINCKLEY,1999,43.9,31.9,12.5,5.0,24000,8500,818,CB,SLOOP,15.79,330,36.2,1.68,1.05,3.51,0.06037,7.57,4.1,6.58,,,,,,,,,,,,,,,,,,,,,,,,
SOU'WESTER 51,RHODES-HINCKLEY,1970,51.2,37.4,14.0,5.8,40012,15000,1128,,SLOOP,15.49,341,44.3,1.58,1.03,3.66,0.04700,8.19,5.0,7.58,,,,,,,,,,,,,,,,,,,,,,,,
SOU'WESTER 52,HINCKLEY,1990,51.4,37.5,14.0,8.0,39000,14600,1221,,SLOOP,17.06,330,43.1,1.60,1.06,3.67,0.04894,8.21,4.9,7.43,,,,,,,,,,,,,,,,,,,,,,,,
SOU'WESTER 61,McCURDY & RHODES,1976,61.3,44.1,15.5,6.5 / 12.5,63000,23000,1513,FIN CB,SLOOP,15.36,328,51.4,1.51,1.01,3.95,0.03836,8.90,5.9,8.50,,,,,,,,,,,,,,,,,,,,,,,,
SOVEREIGN 24 MK II,,1993,24.0,18.5,8.0,3.4,3600,1200,240,,SLOOP,16.39,254,17.3,2.02,1.12,3.00,0.13354,5.76,2.0,4.01,,,,,,,,,,,,,,,,,,,,,,,,
SOVEREIGN 30,,1961,30.0,23.0,8.4,3.4,6800,2400,341,,SLOOP,15.25,250,24.6,1.72,1.08,3.57,0.06859,6.43,2.9,5.68,,,,,,,,,,,,,,,,,,,,,,,,
SOVEREIGN 32,ANDERSON,1973,32.1,25.3,10.6,5.0,13669,5512,405,,SLOOP,11.38,377,33.3,1.72,0.96,3.03,0.06265,6.74,3.6,6.27,,,,,,,,,,,,,,,,,,,,,,,,
SPARHAWK 35,BLACK,1979,34.9,30.5,11.7,6.0,9600,4500,830,,SLOOP,29.50,151,17.6,2.13,1.33,2.98,0.21075,7.40,2.1,3.48,,,,,,,,,,,,,,,,,,,,,,,,
SPENCER 46,BRANDLMAYR,1987,46.0,36.7,13.0,7.0,25000,10000,551,"LONG FIN, SKEG RUDDER",SLOOP,10.35,226,32.1,1.72,0.91,3.54,0.07398,8.12,3.8,5.98,,,,,,,,,,,,,,,,,,,,,,,,
Spencer 51 CC,SPENCER,1967,51.0,37.5,13.2,7.4,30000,13000,1064,,,17.70,254,35.9,1.64,1.09,3.86,0.05893,8.21,4.3,6.72,,,,,,,,,,,,,,,,,,,,,,,,
SPICE,CALLAHAN,1960,19.6,16.7,7.2,3.8,2000,0,187,,SLOOP,18.89,192,12.7,2.21,1.20,2.72,0.19941,5.48,1.5,3.17,,,,,,,,,,,,,,,,,,,,,,,,
"SPICE, KEEL MODIFICATIONS",HOLTROP,1970,39.0,30.0,11.3,5.5,20400,8400,719,"LONG FIN, SKEG RUDDER",CUTTER,15.47,337,38.2,1.60,1.05,3.45,0.04795,7.34,4.3,7.26,,,,,,,,,,,,,,,,,,,,,,,,
SPIRIT,S&S,1963,33.5,29.0,8.5,6.0,12320,6616,535,"SHORT, FULL KEEL",FRACTIONAL SLOOP,16.10,226,36.3,1.42,1.08,3.94,0.03178,7.22,4.3,8.37,,,,,,,,,,,,,,,,,,,,,,,,
SPIRIT 110,MACMILLAN,1962,110.0,77.0,21.0,11.6,153500,,3827,,SLOOP,21.47,150,47.4,1.52,1.11,5.24,0.05002,11.76,6.2,7.68,,,,,,,,,,,,,,,,,,,,,,,,
SPIRIT 32,MACMILLAN,1997,32.1,25.9,6.1,4.5,1900,,417,,SLOOP,43.59,49,9.5,1.90,1.58,5.26,0.14719,6.82,1.5,3.45,,,,,,,,,,,,,,,,,,,,,,,,
SPIRIT 37,MACMILLAN,1981,37.0,26.5,7.0,5.4,4500,,486,,SLOOP,28.61,108,17.6,1.64,1.34,5.29,0.06837,6.90,2.5,5.36,,,,,,,,,,,,,,,,,,,,,,,,
SPIRIT 46,MACMILLAN,1994,46.0,33.9,8.3,6.5,7000,,719,,SLOOP,31.54,80,17.2,1.68,1.37,5.54,0.09059,7.80,2.5,4.92,,,,,,,,,,,,,,,,,,,,,,,,
SPIRIT 58,MACMILLAN,1979,58.7,42.4,10.5,7.1,17000,,1190,,SLOOP,28.91,100,24.2,1.58,1.30,5.59,0.06931,8.73,3.4,5.95,,,,,,,,,,,,,,,,,,,,,,,,
SPRAY 33,ROBERTS,1998,37.7,26.6,12.0,4.0,22000,7500,655,,SLOOP,13.40,522,41.5,1.66,1.00,3.14,0.04748,6.91,4.5,7.37,,,,,,,,,,,,,,,,,,,,,,,,
SPRAY 40,ROBERTS,1993,40.0,31.9,14.3,4.2,35840,15000,927,,KETCH-CUTTER ,13.70,493,46.7,1.68,0.99,2.80,0.05239,7.57,4.8,7.20,,,,,,,,,,,,,,,,,,,,,,,,
SPRAY ORIGINAL,,1972,36.8,32.1,13.8,4.1,35658,13193,1161,MONO,GAFF/YAWL,17.22,481,49.9,1.62,1.07,2.67,0.04615,7.59,5.0,7.64,,,,,,,,,,,,,,,,,,,,,,,,
SS CUSTOM 42,S&S,1978,42.1,31.2,12.5,6.0,24000,9840,900,,SLOOP,17.38,353,37.2,1.68,1.09,3.37,0.05753,7.48,4.2,6.74,,,,,,,,,,,,,,,,,,,,,,,,
SS CUSTOM 50 AC,S&S,1995,49.7,37.8,14.3,6.5,31220,12000,1051,FIN KEEL,SLOOP,17.03,258,33.7,1.76,1.07,3.48,0.07937,8.24,3.9,5.85,,,,,,,,,,,,,,,,,,,,,,,,
ST AUGUSTINE,WITTHOLZ,1972,61.5,53.0,17.0,6.5,84000,26000,1744,,SCHOONER,14.62,252,53.7,1.50,0.99,3.62,0.04154,9.76,6.0,8.26,,,,,,,,,,,,,,,,,,,,,,,,
ST. VALERY,BOLGER,1966,24.9,20.9,6.6,1.0,4700,1000,349,"SHOALE DRAFT, WATER BALLAST",GAFF SCHOONER,19.96,230,26.6,1.52,1.19,3.77,0.03756,6.13,3.2,7.07,,,,,,,,,,,,,,,,,,,,,,,,
STARLIGHT 35,JONES,1975,35.0,28.1,11.5,5.9,13200,5300,575,,SLOOP,16.53,266,26.1,1.88,1.09,3.04,0.10089,7.10,3.0,5.02,,,,,,,,,,,,,,,,,,,,,,,,
STARLIGHT 39,JONES,1960,39.1,31.3,12.5,6.8,17500,7300,714,,SLOOP,17.01,255,27.8,1.86,1.09,3.13,0.09911,7.50,3.2,5.14,,,,,,,,,,,,,,,,,,,,,,,,
STARRATT 46,MORGAN,1976,45.8,35.0,11.0,6.1,27000,10000,1000,"FULL KEEL, NARROW, LONG OVERHANG",SLOOP,17.85,281,44.8,1.42,1.09,4.16,0.03042,7.93,5.3,9.07,,,,,,,,,,,,,,,,,,,,,,,,
STEELSTAR 50,TANTON,1995,50.0,48.0,13.5,6.6,21000,6930,1025,FIN KEEL,SLOOP,21.63,85,20.9,1.89,1.17,3.70,0.15387,9.28,2.7,4.17,,,,,,,,,,,,,,,,,,,,,,,,
Stevens 47,STEVENS,1979,46.8,37.8,14.3,6.0,32000,14500,1051,,,16.75,265,35.3,1.74,1.06,3.27,0.07545,8.24,4.0,6.00,,,,,,,,,,,,,,,,,,,,,,,,
STONE HORSE 23,CROCKER,1991,23.3,18.4,7.1,3.4,4490,2000,263,FULL KEEL,CUTTER,15.51,322,25.6,1.66,1.10,3.28,0.05208,5.75,2.9,6.18,,,,,,,,,,,,,,,,,,,,,,,,
STUART KNOCKABOUT,HERRESHOFF,1987,28.0,22.0,6.1,2.8,4000,2400,265,KEEL + CB,SLOOP,16.87,168,23.3,1.49,1.13,4.59,0.03446,6.29,3.1,7.12,,,,,,,,,,,,,,,,,,,,,,,,
SUN CAT,COM-PAC YACHTS,1991,17.3,16.8,7.3,14 / 54,1500,,150,CAT BOAT,GAFF,18.35,141,9.7,2.47,1.20,2.37,0.37964,5.49,1.1,2.31,,,,,,,,,,,,,,,,,,,,,,,,
SUN DEER 60,DASHEW,1994,59.9,59.0,13.4,6.0,35000,10000,1205,FIN KEEL,FRACT. SLOOP,18.09,76,28.8,1.59,1.09,4.47,0.07694,10.29,3.8,5.89,,,,,,,,,,,,,,,,,,,,,,,,
SUN FAST 32i,BRIAND,1974,31.5,,31.0,6.5,9105,2491,550,FIN / BULB,SLOOP,20.25,#DIV/0!,15.4,5.74,#DIV/0!,1.02,#DIV/0!,0.00,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 28.1,JEANNEAU DESIGN,1991,28.5,23.2,9.9,3.5,5720,1760,352,,SLOOP,17.66,204,16.8,2.14,1.14,2.88,0.18428,6.45,2.0,3.61,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 32.2,,1993,31.2,27.0,10.0,4.7,8929,2980,561,FIN SPADE RUDDER,SLOOP,20.92,203,22.7,1.86,1.19,3.12,0.10258,6.96,2.7,4.84,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 36,ANDRIEU,1992,36.1,30.2,12.5,6.8,12568,4189,574,,SLOOP,17.05,204,21.0,2.08,1.10,2.89,0.17619,7.36,2.4,3.85,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 37.2,FAROUX,1963,37.4,31.0,12.8,4.0,13230,4785,99,,,2.84,198,20.8,2.09,0.60,2.92,0.18176,7.46,2.4,3.81,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 39,FAUROUX,1969,39.3,32.2,12.8,6.4,14330,5402,683,,SLOOP,18.59,192,21.6,2.04,1.13,3.07,0.16751,7.60,2.5,3.97,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 40DS,ANDRIEU,1969,40.0,33.3,13.0,6.5,15875,5295,819,FIN W/WING,SLOOP,20.82,192,22.8,2.00,1.17,3.08,0.14654,7.73,2.7,4.25,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 42cc,DUMAS,1977,42.1,33.1,13.5,6.6,18920,6270,733,,SLOOP,16.58,233,25.5,1.96,1.08,3.12,0.13338,7.71,2.9,4.48,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 44,JEANNEAU DESIGN,1971,43.7,34.7,13.9,7.0,22050,9130,773,FIN,SLOOP,15.79,236,27.4,1.92,1.05,3.14,0.12117,7.89,3.1,4.72,,,,,,,,,,,,,,,,,,,,,,,,
SUN ODYSSEY 45.2,JEANNEAU DESIGN,1979,46.4,38.4,14.7,6.6,21208,8102,977,,SLOOP,20.48,167,22.4,2.06,1.15,3.16,0.17145,8.30,2.7,4.00,,,,,,,,,,,,,,,,,,,,,,,,
SUNBEAM 32,MIGLITSCH/SCHOECHL,1975,32.2,26.0,10.2,4.1,9500,0,411,MED. KEEL + BULB,,14.71,241,23.9,1.86,1.05,3.16,0.09811,6.83,2.8,4.97,,,,,,,,,,,,,,,,,,,,,,,,
SUNBEAM 34,MIGLITSCH/SCHOECHL,1962,34.2,28.4,11.3,4.4,13000,0,470,MED. KEEL + BULB,,13.65,253,26.4,1.86,1.02,3.03,0.09852,7.14,3.0,5.06,,,,,,,,,,,,,,,,,,,,,,,,
SUNBEAM 34 W  SPOILER,MIGLITSCH/SCHOECHL,1993,37.0,28.0,11.3,5.2,13000,5500,550,,SLOOP,15.97,264,25.9,1.86,1.07,3.27,0.09852,7.09,3.0,5.06,,,,,,,,,,,,,,,,,,,,,,,,
SUNBEAM 37,MIGLITSCH/SCHOECHL,1993,37.0,32.0,11.3,4.6,14500,0,535,MED. KEEL + BULB,,14.45,198,26.5,1.79,1.04,3.27,0.09227,7.58,3.1,5.23,,,,,,,,,,,,,,,,,,,,,,,,
SUNBEAM 39,JAKOPIN,1981,40.3,35.0,13.0,6.5,17600,5830,480,,SLOOP,11.39,183,24.4,1.93,0.95,3.10,0.13626,7.93,2.8,4.41,,,,,,,,,,,,,,,,,,,,,,,,
SUNBEAM 44,SCHOECHL,1986,43.3,42.2,12.2,,20900,8380,1125,FIN,SLOOP,23.82,124,27.1,1.71,1.21,3.55,0.09025,8.70,3.3,5.36,,,,,,,,,,,,,,,,,,,,,,,,
SUNBIRD 32,BOSWELL,1968,32.5,26.3,10.3,3.9,10097,3638,560,,JUNK         ,19.24,248,24.8,1.84,1.15,3.16,0.09273,6.87,2.9,5.13,,,,,,,,,,,,,,,,,,,,,,,,
Sundeer 60,,1968,59.9,59.0,13.4,6.0,35000,10000,1044,,,15.68,76,28.8,1.59,1.04,4.47,0.07694,10.29,3.8,5.89,,,,,,,,,,,,,,,,,,,,,,,,
