id,Resistance,Comfort,LWL,BWL
593,4308.16,0.26,10.94,3.0
594,4308.16,0.26,10.94,3.0
595,4163.13,0.31,11.0,2.63
596,4163.13,0.31,11.0,2.63
597,4198.59,0.26,11.0,3.0
598,4198.59,0.26,11.0,3.0
599,4894.06,0.32,10.66,2.63
600,4894.06,0.32,10.66,2.63
601,4852.72,0.32,10.68,2.63
602,4852.72,0.32,10.68,2.63
603,4263.96,0.26,10.97,3.0
604,4263.96,0.26,10.97,3.0
605,4168.6,0.31,11.0,2.63
606,4168.6,0.31,11.0,2.63
607,4840.84,0.32,10.68,2.63
608,4840.84,0.32,10.68,2.63
609,4866.58,0.32,10.67,2.63
610,4866.58,0.32,10.67,2.63
611,4851.75,0.32,10.68,2.6
612,4851.75,0.32,10.68,2.6
613,4277.56,0.31,10.94,2.63
614,4277.56,0.31,10.94,2.63
615,5422.86,0.38,8.0,2.63
616,5422.86,0.38,8.0,2.63
617,4853.77,0.31,10.68,2.64
618,4853.77,0.31,10.68,2.64
619,4264.05,0.26,10.97,3.0
620,4264.05,0.26,10.97,3.0
621,4266.35,0.31,10.95,2.63
622,4266.35,0.31,10.95,2.63
623,4220.2,0.32,10.97,2.54
624,4220.2,0.32,10.97,2.54
625,4227.56,0.31,10.97,2.62
626,4227.56,0.31,10.97,2.62
627,4303.07,0.26,10.95,3.0
628,4303.07,0.26,10.95,3.0
629,4840.94,0.32,10.68,2.63
630,4840.94,0.32,10.68,2.63
631,4266.35,0.31,10.95,2.63
632,4266.35,0.31,10.95,2.63
633,5424.02,0.38,8.0,2.64
634,5424.02,0.38,8.0,2.64
635,4276.59,0.31,10.94,2.61
636,4276.59,0.31,10.94,2.61
637,4198.59,0.26,11.0,3.0
638,4198.59,0.26,11.0,3.0
639,4198.42,0.26,11.0,3.0
640,4198.42,0.26,11.0,3.0
641,4220.2,0.32,10.97,2.54
642,4220.2,0.32,10.97,2.54
643,5424.02,0.38,8.0,2.64
644,5424.02,0.38,8.0,2.64
645,4201.35,0.26,11.0,3.04
646,4201.35,0.26,11.0,3.04
647,4217.71,0.33,10.97,2.51
648,4217.71,0.33,10.97,2.51
649,4196.69,0.33,10.98,2.53
650,4196.69,0.33,10.98,2.53
651,4869.39,0.32,10.67,2.63
652,4869.39,0.32,10.67,2.63
653,4277.96,0.31,10.94,2.61
654,4277.96,0.31,10.94,2.61
655,4198.95,0.26,11.0,3.0
656,4198.95,0.26,11.0,3.0
657,4840.84,0.32,10.68,2.63
658,4840.84,0.32,10.68,2.63
659,4267.27,0.26,10.97,3.04
660,4267.27,0.26,10.97,3.04
661,4162.95,0.31,11.0,2.62
662,4162.95,0.31,11.0,2.62
663,4196.69,0.33,10.98,2.53
664,4196.69,0.33,10.98,2.53
665,4198.42,0.26,11.0,3.0
666,4198.42,0.26,11.0,3.0
667,4197.28,0.26,11.0,2.98
668,4197.28,0.26,11.0,2.98
669,4198.43,0.32,10.98,2.56
670,4198.43,0.32,10.98,2.56
671,4251.9,0.26,10.97,3.0
672,4251.9,0.26,10.97,3.0
673,5468.01,0.38,8.03,2.64
674,5468.01,0.38,8.03,2.64
675,4196.45,0.26,11.0,2.98
676,4196.45,0.26,11.0,2.98
677,4199.25,0.26,11.0,3.0
678,4199.25,0.26,11.0,3.0
679,4241.84,0.29,10.97,2.77
680,4241.84,0.29,10.97,2.77
681,5424.02,0.38,8.0,2.64
682,5424.02,0.38,8.0,2.64
683,4296.47,0.31,10.93,2.64
684,4296.47,0.31,10.93,2.64
685,5578.57,0.32,8.07,3.0
686,5578.57,0.32,8.07,3.0
687,5663.39,0.38,8.15,2.64
688,5663.39,0.38,8.15,2.64
689,4203.35,0.26,11.0,3.0
690,4203.35,0.26,11.0,3.0
691,4851.75,0.32,10.68,2.6
