id,Resistance,Rv,Ri,Rr,Rincli,Comfort,CS,LWL,BWL,Draft,Displacement,AWP,LCB,LCF,constraint1,constraint2,constraint3,constraint4,constraint5,valid
91,1827.8571,430.3168,1395.9200,1.6203,0.0000,14.7570,2.0240,9.4228,3.4977,0.5206,6.8700,0.6891,4.5703,4.0527,True,True,False,False,True,False
92,1324.9054,410.4610,910.8304,3.6140,0.0000,13.3131,1.7199,10.3448,2.9721,0.6059,6.8700,0.7022,4.9221,4.4586,False,False,False,False,False,True
93,1407.8792,403.1382,1002.2833,2.4577,0.0000,12.5638,1.7928,9.8649,3.0982,0.5456,6.8700,0.6948,4.3089,4.2331,False,False,False,False,False,True
94,1164.4270,418.0886,743.8534,2.4850,0.0000,11.1132,1.6743,10.8656,2.8933,0.5022,6.8700,0.6894,4.6452,4.5077,False,False,False,False,False,True
95,1202.3680,410.0896,789.3510,2.9274,0.0000,13.7679,1.7536,10.4649,3.0303,0.5951,6.8700,0.7088,4.4753,4.3962,False,False,False,False,False,True
96,1416.5106,426.5404,987.1072,2.8630,0.0000,16.4596,2.0202,10.0494,3.4911,0.5520,6.8700,0.7034,4.6565,4.2992,False,False,False,False,True,False
97,1158.8045,401.3151,754.8843,2.6050,0.0000,14.6131,1.8027,10.5137,3.1152,0.5946,6.8700,0.7081,4.2469,4.1716,False,False,False,False,False,True
98,1635.9080,387.0043,1246.1891,2.7146,0.0000,10.0588,1.5796,9.5522,2.7296,0.5862,6.8700,0.7034,4.8419,4.4053,False,False,False,False,False,True
99,1338.3026,420.1862,915.2331,2.8833,0.0000,9.7306,1.5748,10.4362,2.7215,0.5195,6.8700,0.6955,4.4396,4.0615,False,False,False,False,False,True
100,1356.8192,415.9402,937.5184,3.3606,0.0000,11.6296,1.6576,10.5511,2.8644,0.5565,6.8700,0.6881,4.9997,4.3844,False,False,False,False,False,True
101,1621.3482,401.5444,1218.3881,1.4158,0.0000,7.9848,1.5669,9.1211,2.7078,0.4868,6.8700,0.6945,4.2754,4.6457,False,False,False,False,False,True
102,1117.2169,392.1327,722.0834,3.0008,0.0000,15.9308,1.8195,10.5328,3.1443,0.6381,6.8700,0.6947,4.5838,4.5768,False,False,False,False,False,False
103,1254.1371,409.2088,842.5693,2.3590,0.0000,16.9527,1.9727,9.7667,3.4090,0.6191,6.8700,0.6842,4.2571,4.6730,False,False,False,False,False,False
104,1158.9788,401.3923,754.9815,2.6050,0.0000,14.6131,1.8027,10.5137,3.1152,0.5946,6.8700,0.7081,4.2469,4.1716,False,False,False,False,False,True
105,1266.6360,389.8811,873.6000,3.1549,0.0000,11.3813,1.6642,10.0957,2.8758,0.5642,6.8700,0.6815,4.5247,4.5883,False,False,False,False,False,True
106,1248.9372,386.1883,859.1738,3.5751,0.0000,13.3019,1.6711,10.3977,2.8878,0.6407,6.8700,0.6830,4.8602,4.5377,False,False,False,False,False,True
107,1175.9720,377.0439,795.7560,3.1721,0.0000,13.6588,1.6880,10.1898,2.9170,0.6581,6.8700,0.7096,4.2528,4.2286,False,False,False,False,False,True
108,1357.3005,424.6519,929.1268,3.5218,0.0000,16.5348,1.9621,10.2018,3.3907,0.5828,6.8700,0.6848,4.8942,4.6289,False,False,False,False,False,False
109,1310.8083,378.9603,928.6155,3.2326,0.0000,12.4378,1.6674,9.9903,2.8815,0.6243,6.8700,0.7088,4.6059,4.4862,False,False,False,False,False,True
110,1348.8415,430.0529,916.0841,2.7045,0.0000,12.4129,1.7494,10.4640,3.0231,0.5347,6.8700,0.7027,4.4015,4.0646,False,False,False,False,False,True
111,1896.4093,419.0372,1476.2455,1.1265,0.0000,12.9182,1.9411,9.0479,3.3543,0.5146,6.8700,0.7097,4.9889,4.4861,True,True,False,False,False,False
112,1374.9056,422.6498,949.1195,3.1364,0.0000,16.8774,1.9858,10.1310,3.4317,0.5845,6.8700,0.6947,4.6607,4.3079,False,False,False,False,False,False
113,1196.7810,428.6997,765.4791,2.6022,0.0000,16.6524,1.9793,10.2756,3.4203,0.5717,6.8700,0.7076,4.1972,4.4147,False,False,False,False,False,False
114,1799.5687,420.2153,1378.1889,1.1646,0.0000,13.0256,1.9469,9.0690,3.3644,0.5146,6.8700,0.7097,4.9889,4.6696,True,True,False,False,False,False
115,1120.7445,427.7723,690.5629,2.4093,0.0000,11.9736,1.7248,10.6059,2.9805,0.5231,6.8700,0.6919,4.2635,4.4921,False,False,False,False,False,True
116,1184.0595,417.2141,764.1695,2.6759,0.0000,17.8176,1.9807,10.6858,3.4229,0.5900,6.8700,0.7071,4.6570,4.4993,False,False,False,False,False,False
117,1487.1756,390.3834,1093.6247,3.1675,0.0000,11.9162,1.6674,9.9903,2.8815,0.5965,6.8700,0.7091,4.6059,4.0740,False,False,False,False,False,True
118,1144.8130,451.4411,691.3449,2.0270,0.0000,17.0389,1.9945,10.8133,3.4467,0.5465,6.8700,0.7067,4.2364,4.3264,False,False,False,False,False,False
119,1219.9644,433.1639,784.2084,2.5920,0.0000,16.0487,1.9793,10.2234,3.4203,0.5519,6.8700,0.7075,4.1972,4.4147,False,False,False,False,False,True
120,1261.5094,383.1707,874.5997,3.7390,0.0000,12.9398,1.6552,10.2156,2.8603,0.6465,6.8700,0.7042,4.7663,4.4539,False,False,False,False,False,True
121,1232.5945,429.9320,800.1771,2.4854,0.0000,16.2659,1.8850,10.8574,3.2574,0.5860,6.8700,0.6927,4.5941,4.1826,False,False,False,False,False,False
122,1220.1968,408.8123,808.3523,3.0322,0.0000,13.6549,1.7536,10.3754,3.0303,0.5951,6.8700,0.7088,4.4753,4.3962,False,False,False,False,False,True
123,1325.7916,431.6334,891.5533,2.6049,0.0000,12.5642,1.7494,10.5979,3.0231,0.5347,6.8700,0.7027,4.4454,4.0630,False,False,False,False,False,True
124,1136.3644,393.6000,739.9632,2.8012,0.0000,12.8349,1.6823,9.9537,2.9072,0.6358,6.8700,0.6928,4.1893,4.7205,False,False,False,False,False,True
125,1149.7334,428.4677,718.6134,2.6523,0.0000,18.0827,1.9633,10.5871,3.3927,0.6170,6.8700,0.6980,4.4431,4.6077,False,False,False,False,False,False
126,1210.2650,437.9367,769.9634,2.3649,0.0000,14.1337,1.9710,10.2060,3.4061,0.4838,6.8700,0.7074,4.2123,4.5299,False,True,False,False,False,False
127,1368.7953,407.2350,959.1121,2.4482,0.0000,12.8189,1.7740,9.8526,3.0656,0.5717,6.8700,0.7049,4.1972,4.3033,False,False,False,False,False,True
128,1078.8211,374.3244,701.3471,3.1497,0.0000,12.4191,1.6166,10.1736,2.7936,0.6537,6.8700,0.7070,4.2111,4.5414,False,False,False,False,False,True
129,1211.8054,378.3931,830.2716,3.1408,0.0000,13.9879,1.7081,10.1898,2.9518,0.6581,6.8700,0.7004,4.2366,4.1874,False,False,False,False,False,False
130,1289.6512,424.1933,862.5162,2.9417,0.0000,17.3748,1.9858,10.4445,3.4317,0.5845,6.8700,0.6948,4.6619,4.3149,False,False,False,False,False,False
131,1132.9882,392.4081,737.5561,3.0240,0.0000,14.8362,1.8278,10.1329,3.1587,0.6094,6.8700,0.6815,4.3715,4.6536,False,False,False,False,False,True
132,1204.9444,442.4642,759.8165,2.6637,0.0000,12.5230,1.8166,10.4443,3.1393,0.4968,6.8700,0.7077,4.5176,4.6653,False,False,False,False,False,True
133,1305.7080,420.9673,881.4093,3.3315,0.0000,12.9485,1.8223,10.2642,3.1490,0.5217,6.8700,0.6943,4.8590,4.6484,False,False,False,False,False,True
134,1146.3017,429.4292,714.3619,2.5106,0.0000,16.1595,1.9413,10.7665,3.3548,0.5501,6.8700,0.6804,4.6542,4.7179,False,False,False,False,False,False
135,1224.7200,408.6293,813.0434,3.0473,0.0000,13.6386,1.7536,10.3626,3.0303,0.5951,6.8700,0.7078,4.4753,4.3962,False,False,False,False,False,True
136,1564.2222,389.8376,1172.6697,1.7149,0.0000,8.7410,1.5851,9.2835,2.7393,0.5145,6.8700,0.6951,4.2030,4.5628,False,False,False,False,False,True
137,1640.7951,426.8302,1211.6365,2.3284,0.0000,11.9864,1.8423,9.7332,3.1836,0.4936,6.8700,0.6829,4.7071,4.2891,False,False,False,False,False,True
138,1119.1691,436.8522,680.2832,2.0338,0.0000,17.0332,1.9945,10.8133,3.4467,0.5463,6.8700,0.7088,4.2447,4.3264,False,False,False,False,False,False
139,1731.1248,420.3089,1308.6401,2.1759,0.0000,9.8326,1.6743,9.6131,2.8934,0.4988,6.8700,0.6920,4.4785,4.1197,False,False,False,False,False,True
140,1335.2286,408.2264,923.3792,3.6229,0.0000,12.8265,1.6885,10.3448,2.9179,0.6059,6.8700,0.7022,4.9097,4.4097,False,False,False,False,False,True
141,1490.5457,434.6310,1053.0651,2.8496,0.0000,13.3893,1.9246,10.1198,3.3260,0.4851,6.8700,0.6995,4.6995,4.1798,False,True,False,False,False,False
142,1243.7636,393.4367,846.7932,3.5337,0.0000,12.9718,1.6571,10.2170,2.8636,0.6465,6.8700,0.7042,4.5913,4.4539,False,False,False,False,False,True
143,1172.6359,420.0928,749.6644,2.8788,0.0000,18.1626,1.9617,10.3424,3.3899,0.6362,6.8700,0.6955,4.3520,4.5145,False,False,False,False,False,False
144,1324.7071,431.6334,890.4713,2.6024,0.0000,12.5642,1.7494,10.5979,3.0231,0.5347,6.8700,0.7027,4.4429,4.0642,False,False,False,False,False,True
145,1625.5455,389.7705,1232.7751,3.0000,0.0000,12.2639,1.6835,9.6499,2.9093,0.6243,6.8700,0.7037,4.9834,4.3565,False,False,False,False,False,True
146,1389.7812,390.3113,996.8538,2.6161,0.0000,11.6971,1.6903,9.7037,2.9210,0.5849,6.8700,0.7068,4.5083,4.5785,False,False,False,False,False,True
147,1437.3934,399.1178,1036.7455,1.5302,0.0000,18.3228,2.0661,9.1215,3.5704,0.6534,6.8700,0.6892,4.2221,4.7444,True,False,False,False,True,False
148,1090.8546,394.6418,693.2199,2.9929,0.0000,15.0601,1.8278,10.2925,3.1587,0.6094,6.8700,0.6815,4.3701,4.6747,False,False,False,False,False,False
149,1356.8210,415.9578,937.5041,3.3590,0.0000,11.6309,1.6576,10.5523,2.8644,0.5565,6.8700,0.6881,4.9997,4.3844,False,False,False,False,False,True
150,1136.5077,394.1752,739.2204,3.1121,0.0000,12.2403,1.6492,10.5110,2.8500,0.5967,6.8700,0.6998,4.6295,4.6404,False,False,False,False,False,True
151,1206.1235,373.9869,828.9893,3.1473,0.0000,12.4580,1.6166,10.1736,2.7936,0.6560,6.8700,0.6945,4.2051,4.1882,False,False,False,False,False,True
152,1775.7993,410.8653,1362.9920,1.9420,0.0000,16.5957,2.0240,9.4228,3.4977,0.5934,6.8700,0.6881,4.5703,4.0527,True,False,False,False,True,False
153,1191.2351,416.8286,771.9835,2.4231,0.0000,13.0372,1.8027,10.5137,3.1152,0.5251,6.8700,0.7090,4.2469,4.1716,False,False,False,False,False,True
154,1101.5502,431.3973,667.7413,2.4116,0.0000,17.6550,1.9324,10.8128,3.3394,0.6090,6.8700,0.6979,4.4431,4.6077,False,False,False,False,False,False
