id,Resistance,Rv,Ri,Rr,Rincli,Comfort,LWL,BWL,Draft,Displacement,AWP,LCB,LCF,best,constraint1,constraint2,constraint3,constraint4,constraint5,valid
114,1556.4524,203.5924,294.2114,1045.6091,13.0395,0.1627,10.0298,2.3498,0.4111,3.4004,16.1670,4.5449,4.6499,-1697.5476,False,False,False,False,False,True
115,1758.5015,254.8658,287.1119,1198.8225,17.7012,0.2367,10.8732,2.5012,0.5538,5.6825,18.5194,4.2678,4.3156,-2975.4985,False,False,False,False,False,True
116,1758.5015,254.8658,287.1119,1198.8225,17.7012,0.2367,10.8732,2.5012,0.5538,5.6825,18.5194,4.2678,4.3156,-2975.4985,False,False,False,False,False,True
117,1943.2923,246.7699,283.4547,1395.7641,17.3036,0.3143,10.8171,2.0104,0.6793,5.6218,15.0234,4.9572,4.3145,-4342.7077,True,False,False,False,False,False
118,1943.2923,246.7699,283.4547,1395.7641,17.3036,0.3143,10.8171,2.0104,0.6793,5.6218,15.0234,4.9572,4.3145,-4342.7077,True,False,False,False,False,False
119,1776.2151,216.3994,267.7929,1273.5489,18.4740,0.2498,10.2537,2.1653,0.6531,4.7536,15.3242,4.2095,4.1536,-3219.7849,False,False,False,False,False,True
120,1776.2151,216.3994,267.7929,1273.5489,18.4740,0.2498,10.2537,2.1653,0.6531,4.7536,15.3242,4.2095,4.1536,-3219.7849,False,False,False,False,False,True
121,2100.4142,232.4768,268.3185,1578.3573,21.2616,0.2890,10.2725,2.1599,0.6547,5.4874,15.1090,4.2677,4.3156,-3679.5858,False,False,False,False,False,True
122,2100.4142,232.4768,268.3185,1578.3573,21.2616,0.2890,10.2725,2.1599,0.6547,5.4874,15.1090,4.2677,4.3156,-3679.5858,False,False,False,False,False,True
123,1538.8687,237.5544,286.9330,999.0041,15.3772,0.2050,10.8621,2.5066,0.5526,4.9318,18.8089,4.2095,4.3126,-2561.1313,False,False,False,False,False,True
124,1538.8687,237.5544,286.9330,999.0041,15.3772,0.2050,10.8621,2.5066,0.5526,4.9318,18.8089,4.2095,4.3126,-2561.1313,False,False,False,False,False,True
125,3372.4792,340.2739,286.2849,2709.5173,36.4030,0.2692,10.8117,3.2886,0.7229,9.2620,24.9561,4.8267,4.5031,-2011.5208,False,False,False,False,False,True
126,3372.4792,340.2739,286.2849,2709.5173,36.4030,0.2692,10.8117,3.2886,0.7229,9.2620,24.9561,4.8267,4.5031,-2011.5208,False,False,False,False,False,True
127,2131.8171,243.3188,278.5084,1589.9196,20.0704,0.3095,10.6283,2.0906,0.6793,5.7611,15.3677,4.9718,4.1861,-4058.1829,True,False,False,False,False,False
128,2131.8171,243.3188,278.5084,1589.9196,20.0704,0.3095,10.6283,2.0906,0.6793,5.7611,15.3677,4.9718,4.1861,-4058.1829,True,False,False,False,False,False
129,1892.5306,246.6247,283.2536,1345.5184,17.1340,0.3142,10.8094,2.0104,0.6793,5.6181,15.0299,4.8254,4.1555,-4391.4694,True,False,False,False,False,False
130,1892.5306,246.6247,283.2536,1345.5184,17.1340,0.3142,10.8094,2.0104,0.6793,5.6181,15.0299,4.8254,4.1555,-4391.4694,True,False,False,False,False,False
131,1940.5618,246.9783,283.2536,1392.9171,17.4128,0.3151,10.8094,2.0104,0.6793,5.6342,14.9991,4.9572,4.1555,-4361.4382,True,False,False,False,False,False
132,1940.5618,246.9783,283.2536,1392.9171,17.4128,0.3151,10.8094,2.0104,0.6793,5.6342,14.9991,4.9572,4.1555,-4361.4382,True,False,False,False,False,False
133,1363.1599,219.6325,290.0943,841.7838,11.6494,0.2283,10.6838,2.0104,0.4954,4.0496,14.8199,4.2802,4.1559,-3202.8401,True,False,False,False,False,False
134,1363.1599,219.6325,290.0943,841.7838,11.6494,0.2283,10.6838,2.0104,0.4954,4.0496,14.8199,4.2802,4.1559,-3202.8401,True,False,False,False,False,False
135,2438.1920,273.2647,283.0982,1857.1229,24.7062,0.2870,10.8103,2.5396,0.6755,7.0022,18.7012,4.9441,4.3151,-3301.8080,False,False,False,False,False,True
136,2438.1920,273.2647,283.0982,1857.1229,24.7062,0.2870,10.8103,2.5396,0.6755,7.0022,18.7012,4.9441,4.3151,-3301.8080,False,False,False,False,False,True
137,2478.9044,238.3087,262.5471,1956.0972,21.9513,0.2658,10.0303,2.3498,0.6724,5.5552,16.1678,4.5539,4.6499,-2837.0956,False,False,False,False,False,True
138,2478.9044,238.3087,262.5471,1956.0972,21.9513,0.2658,10.0303,2.3498,0.6724,5.5552,16.1678,4.5539,4.6499,-2837.0956,False,False,False,False,False,True
139,1263.8289,210.3519,314.4622,729.2505,9.7643,0.1940,10.8112,2.0104,0.4181,3.4690,15.0323,4.8164,4.1555,-2616.1711,True,False,False,False,False,False
140,1263.8289,210.3519,314.4622,729.2505,9.7643,0.1940,10.8112,2.0104,0.4181,3.4690,15.0323,4.8164,4.1555,-2616.1711,True,False,False,False,False,False
141,1714.4234,247.6145,289.8190,1159.4908,17.4990,0.2080,10.6475,2.5365,0.4916,5.0134,18.3911,4.2677,4.3155,-2445.5766,False,False,False,False,False,True
142,1714.4234,247.6145,289.8190,1159.4908,17.4990,0.2080,10.6475,2.5365,0.4916,5.0134,18.3911,4.2677,4.3155,-2445.5766,False,False,False,False,False,True
143,1552.3960,200.8061,295.4973,1042.7297,13.3628,0.1625,10.0681,2.3529,0.4106,3.4097,16.2500,4.5449,4.6499,-1697.6040,False,False,False,False,False,True
144,1552.3960,200.8061,295.4973,1042.7297,13.3628,0.1625,10.0681,2.3529,0.4106,3.4097,16.2500,4.5449,4.6499,-1697.6040,False,False,False,False,False,True
145,2755.5497,310.1948,278.7661,2134.4448,32.1441,0.2349,10.6840,3.3093,0.6343,8.0837,24.0762,4.2677,4.3155,-1942.4503,False,False,False,False,False,True
146,2755.5497,310.1948,278.7661,2134.4448,32.1441,0.2349,10.6840,3.3093,0.6343,8.0837,24.0762,4.2677,4.3155,-1942.4503,False,False,False,False,False,True
